id,title,fuentes,bibliografia,gradoProteccion,intervencionesPermitidas,elementosAConservar,link,tipo,informe,edificio,tipo_institucion
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/236"," Edificio Sede de la Caridad","","","Interés Arquitectónico (A)","Rehabilitaci&#38;oacute;n integral","Fachada, zagu&#38;aacute;n, caja de escaleras, carpinter&#38;iacute;as, cerrajer&#38;iacute;as.","http://www.zaragoza.es/pgou/edih/moretsegismundo04.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3875",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/237"," Mefisto , Fernando Soteras , 9 - Paseo de la Mina","","","Interés Ambiental","Rehabilitaci&#38;oacute;n","Fachada, zagu&#38;aacute;n, caja de escaleras, cerrajer&#38;iacute;as, etc.","http://www.zaragoza.es/pgou/edih/mefisto09.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3852",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/238"," Pabostría , 4","","","Interés Arquitectónico (B)","Rehabilitaci&#38;oacute;n","Fachada","http://www.zaragoza.es/pgou/edih/pabostria04.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3880",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/240"," Predicadores , 67","","","Interés Ambiental","Rehabilitaci&#38;oacute;n","Fachada, caja de escaleras y carpinter&#38;iacute;a.","http://www.zaragoza.es/pgou/edih/predicadores067.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3908",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/241"," Predicadores , 70","","","Interés Monumental","Restauraci&#38;oacute;n","","http://www.zaragoza.es/pgou/edih/predicadores070.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3909",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/243"," Predicadores , 75","","","Interés Ambiental","Rehabilitaci&#38;oacute;n","Fachada, caja de escaleras, carpinter&#38;iacute;as, etc.","http://www.zaragoza.es/pgou/edih/predicadores075.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3912",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/244"," Predicadores , 82","","","Interés Ambiental","Rehabilitaci&#38;oacute;n","Fachada.","http://www.zaragoza.es/pgou/edih/predicadores082.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3913",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/246"," Predicadores , 121","","","Interés Arquitectónico (C)","Rehabilitaci&#38;oacute;n de fachada","","http://www.zaragoza.es/pgou/edih/predicadores121.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3917",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/247"," Predicadores , 123","","","Interés Arquitectónico (B)","Rehabilitaci&#38;oacute;n","Fachada y caja de escaleras.","http://www.zaragoza.es/pgou/edih/predicadores123.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3918",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/249"," Predicadores , 127","","","Interés Ambiental","Rehabilitaci&#38;oacute;n de fachada","","http://www.zaragoza.es/pgou/edih/predicadores127.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3920",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/254"," Ramón y Cajal , 9","","","Interés Ambiental","Rehabilitaci&#38;oacute;n de fachada","","http://www.zaragoza.es/pgou/edih/ramonycajal009.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3933",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/255"," Reconquista , 4 - Asalto","","","Interés Ambiental","Rehabilitaci&#38;oacute;n","Fachada y caja de escaleras.","http://www.zaragoza.es/pgou/edih/reconquista004.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3934",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/256"," Reconquista , 6 - Asalto","","","Interés Ambiental","Rehabilitaci&#38;oacute;n","Fachada y caja de escaleras.","http://www.zaragoza.es/pgou/edih/reconquista006.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3935",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/258"," Reconquista , 10 - Asalto","","","Interés Ambiental","Rehabilitaci&#38;oacute;n","Fachadas y caja de escaleras.","http://www.zaragoza.es/pgou/edih/reconquista010.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3937",""
