WikidataID,WikidataFiestaURI,FiestaLabel,Location,WikidataLocation
Q18696203,http://www.wikidata.org/entity/Q18696203,Fiesta Mayor de Villafranca del Panadés,Villafranca del Panadés,http://www.wikidata.org/entity/Q835012
Q19917524,http://www.wikidata.org/entity/Q19917524,Festa Major del Clot,,
Q20102845,http://www.wikidata.org/entity/Q20102845,Festa Major de Can Peguera,,
Q20102966,http://www.wikidata.org/entity/Q20102966,Festa Major de la Prosperitat,,
Q20103063,http://www.wikidata.org/entity/Q20103063,Festa Major de la Rambla,,
Q20103076,http://www.wikidata.org/entity/Q20103076,Festes del Raval,,
Q20104225,http://www.wikidata.org/entity/Q20104225,Festa Major d'Agost de Badalona,,
Q20104229,http://www.wikidata.org/entity/Q20104229,Festa Major de la Dreta de l'Eixample,,
Q20104233,http://www.wikidata.org/entity/Q20104233,Festa Major de la Salut,,
Q20104238,http://www.wikidata.org/entity/Q20104238,"Festa Major de la Teixonera, Mas Falcó i Penitents",,
Q20104248,http://www.wikidata.org/entity/Q20104248,Festa Major de Sant Antoni,,
Q20104252,http://www.wikidata.org/entity/Q20104252,Festa Major del Besòs i del Maresme,,
Q20104262,http://www.wikidata.org/entity/Q20104262,Festa Major del Fort Pienc,,
Q20104265,http://www.wikidata.org/entity/Q20104265,Festa Major del Pi,,
Q20104434,http://www.wikidata.org/entity/Q20104434,Festa Major del Carmel,,
Q20104445,http://www.wikidata.org/entity/Q20104445,Festa Major del Poblenou,,
Q20104469,http://www.wikidata.org/entity/Q20104469,Festa Major de la Font d'en Fargues,,
Q20104482,http://www.wikidata.org/entity/Q20104482,Festa Major del Turó de la Peira,,
Q20104506,http://www.wikidata.org/entity/Q20104506,Festa Major de Porta,,
Q20104613,http://www.wikidata.org/entity/Q20104613,Festa Major de la Vall d'Hebron,,
Q20104655,http://www.wikidata.org/entity/Q20104655,Festa Major del Casc Antic,,
Q20104667,http://www.wikidata.org/entity/Q20104667,Festa Major de Verdum,,
Q20104876,http://www.wikidata.org/entity/Q20104876,Fiesta Mayor de Granollers,,
Q20104915,http://www.wikidata.org/entity/Q20104915,Festa Major de Ciutat Meridiana,,
Q20104956,http://www.wikidata.org/entity/Q20104956,Festa Major de la Clota,,
Q20104964,http://www.wikidata.org/entity/Q20104964,Festa Major del Guinardó,,
Q20105027,http://www.wikidata.org/entity/Q20105027,Festa Major d'Horta,,
Q20105877,http://www.wikidata.org/entity/Q20105877,Festa Major del Baix Guinardó,,
Q20105975,http://www.wikidata.org/entity/Q20105975,Festa Major de la Barceloneta,,
Q20106073,http://www.wikidata.org/entity/Q20106073,Festa Major de la Mare de Déu de la Riera de les Borges del Camp,Borjas del Campo,http://www.wikidata.org/entity/Q1230160
Q20106203,http://www.wikidata.org/entity/Q20106203,Festa Major de Montbau,,
Q20106415,http://www.wikidata.org/entity/Q20106415,Festa Major de l'Esquerra de l'Eixample,,
Q20106420,http://www.wikidata.org/entity/Q20106420,Festa Major de la Verneda i Sant Martí,,
Q20106424,http://www.wikidata.org/entity/Q20106424,Festa Major de Nou Barris,,
